name,address,rating,price,review_count,station_idx,distance,lat_lon
Elliott Stables,39 Elliott St,4.5,2,72,17,605.9932958923946,"-36.8502509,174.7636168"
BannSang,1C/47 High St,4.5,2,55,17,328.05352363914625,"-36.8482228458385,174.766330253895"
That's Amore,1 Courthouse Ln,5.0,2,30,17,260.86430301631225,"-36.848159,174.767093"
Giraffe,85-87 Custom St West,4.5,-1,17,17,827.9966339945709,"-36.8432620522554,174.763249609362"
Depot,86 Federal St,4.5,3,294,18,592.871656525231,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,18,592.871656525231,"-36.8489969,174.7625058"
Elliott Stables,39 Elliott St,4.5,2,72,18,425.58868075686553,"-36.8502509,174.7636168"
Mamak,50 Kitchener St,4.5,1,60,18,493.81384271200466,"-36.848316,174.76767"
BannSang,1C/47 High St,4.5,2,55,18,509.28926540381605,"-36.8482228458385,174.766330253895"
1947 eatery,60 Federal St,4.5,3,27,18,661.696404351336,"-36.84778,174.7629399"
Tony's Steak and Seafood,27 Wellesley St,4.0,3,45,18,446.9560651089942,"-36.8503720182206,174.763190593144"
Tanuki's Cave,319b Queen Street,4.0,2,32,18,375.0111478852387,"-36.8535713,174.76316"
Nandos,360 Queen St,4.0,1,10,18,285.8172330618351,"-36.8527473,174.7640337"
That's Amore,1 Courthouse Ln,5.0,2,30,18,510.009901117329,"-36.848159,174.767093"
Depot,86 Federal St,4.5,3,294,19,745.1243008523338,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,19,745.1243008523338,"-36.8489969,174.7625058"
Elliott Stables,39 Elliott St,4.5,2,72,19,574.7974567827528,"-36.8502509,174.7636168"
Mamak,50 Kitchener St,4.5,1,60,19,650.4390007885663,"-36.848316,174.76767"
Da Vinci's Restaurant,5 City Rd,4.0,2,20,19,464.0569481405484,"-36.856983,174.763992"
BannSang,1C/47 High St,4.5,2,55,19,674.1095976973228,"-36.8482228458385,174.766330253895"
Tanuki's Cave,319b Queen Street,4.0,2,32,19,421.4081804716264,"-36.8535713,174.76316"
Tony's Steak and Seafood,27 Wellesley St,4.0,3,45,19,590.5739619252315,"-36.8503720182206,174.763190593144"
1947 eatery,60 Federal St,4.5,3,27,19,822.7370365896231,"-36.84778,174.7629399"
Eight at Cordis,83 Symonds St,4.0,4,36,19,502.4979753930296,"-36.8574758965518,174.763995409012"
Eight at Cordis,83 Symonds St,4.0,4,36,20,594.5993908389333,"-36.8574758965518,174.763995409012"
Da Vinci's Restaurant,5 City Rd,4.0,2,20,20,633.0187784371957,"-36.856983,174.763992"
Between Cafe & Eatery,82 Karangahape Rd,5.0,2,26,20,708.115092820641,"-36.8581,174.7619"
Ramen Do,167 Symonds St,4.0,1,9,20,711.7770909774897,"-36.8625720831639,174.761156665696"
Le garde-manger,466 Queen St,4.5,2,33,20,814.3591002769952,"-36.8558117,174.7625738"
Jewel of Bombay,9 Park Rd,5.0,1,3,20,168.2061118638746,"-36.8606467,174.7671995"
Cafe Crema,59 Park Rd,4.0,1,1,20,34.78812999187649,"-36.8611423324067,174.768553594025"
Kazuya,193 Symonds Street,4.5,4,6,20,743.6632771690049,"-36.8631794,174.7610007"
Fujisan,474 Queen St,4.5,2,7,20,810.8312836074167,"-36.8559223,174.7624898"
Number 5 Restaurant,5 City Road,5.0,4,10,20,632.6561937642397,"-36.856997,174.7639798"
Tatsumi,73 Davis Crescent,4.5,3,7,21,215.1998275166459,"-36.8669783,174.777434"
Archie's,61 Davis Crescent,4.0,2,21,21,215.1998275166459,"-36.8669783,174.777434"
Safran Cafe,71 Davis Crescent,4.0,2,6,21,138.6196567281867,"-36.8659760680116,174.777872761377"
Heizo,1-3 Short Street,4.5,2,4,21,181.618386891857,"-36.7874298,175.0293427"
Selera,487 Khyber Pass Rd,4.0,2,37,21,276.87817564058537,"-36.8675931,174.7772327"
Burger Burger,3 York St,4.5,2,38,21,317.462141261197,"-36.867980969335,174.776714238036"
Hua's Restaurant,408-410 Khyber Pass Road,5.0,-1,1,21,235.0991188978321,"-36.8672079131926,174.776272214949"
Eduardos,483 Khyber Pass Road,4.0,2,7,21,274.3989665209506,"-36.8675571,174.7772625"
Tribeca,8 George St,3.5,3,4,21,285.6079356488983,"-36.8636078612984,174.779322647158"
