name,address,rating,price,popularity,verified,station_idx,distance,lat_lon
Maki Mono,2A Williamson Avenue,-1.0,2,0.6057668138891881,False,5,13,"-36.858291,174.749039"
El Sizzling Chorizo,136-138 Ponsonby Road,8.8,2,0.9456712987899026,False,6,37,"-36.856306,174.746281"
Dante's Pizzeria Napoletana,136 Ponsonby Road,8.5,1,0.8449315953894215,False,6,31,"-36.856276,174.746353"
Conch,115A Ponsonby Road,8.7,1,0.9344500700204675,False,6,61,"-36.855861,174.74674"
Le Vietnamese Kitchen,107 Ponsonby Road,8.3,2,0.9773241409027255,False,6,46,"-36.855974,174.746939"
Burger Burger,4 Brown St,8.0,1,0.9130489425114008,False,6,39,"-36.856229,174.746144"
Spqr,150 Ponsonby Road,8.4,2,0.975564652231678,False,6,87,"-36.855664,174.746268"
Little Bread & Butter Bakery,6 Richmond Road,7.4,1,0.45983697798843765,False,6,33,"-36.856528,174.746051"
The Blue Breeze Inn,146 Ponsonby Road,7.6,2,0.9601242414449351,False,6,48,"-36.856037,174.746305"
Bedford Soda & Liquor,4 Brown Street,7.3,2,0.9468023986498617,False,6,23,"-36.856201,174.74622"
Eighthirty Coffee Roasters,136 Ponsonby Road,7.5,1,0.8858666379403211,False,6,44,"-36.856306,174.746281"
Piko Cafe,55 Wellesley Street East,7.3,1,0.95299651693059,True,7,25,"-36.852549,174.766527"
No. 1 Pancake,Lorne Street,8.2,2,0.024794427088943947,False,7,210,"-36.851036,174.765474"
Jin Hai Wan Chinese Seafood Restaurant,57-59 Wakefield St,7.9,1,0.8624008043376782,False,7,223,"-36.854518,174.765025"
Revive,33 Lorne Street,8.0,2,0.8849150777406729,False,7,230,"-36.850722,174.765293"
Chom Na Thai Food,40 Lorne Street,7.6,2,0.985636827175123,False,7,203,"-36.851036,174.765474"
Bite - Brazilian Eatery,54/368 Queen Street,8.4,2,0.9933929405005566,False,7,260,"-36.852808,174.7635"
Nando's,328 Queen St,7.7,2,0.9836798448777335,False,7,229,"-36.852593,174.764031"
Burgerfuel,291 Queen Street,8.0,2,0.9887249093324716,True,7,263,"-36.851455,174.763939"
Mrs Higgins Oven Fresh Cookies,268 Queen Street,8.7,1,0.9501418363316456,False,7,319,"-36.850198,174.76499"
Kura Sake Bar,315b Queen Street,8.5,2,0.1664691730403246,False,7,318,"-36.853433,174.763235"
Coco's Cantina,376 Karangahape Road,8.6,-1,0.9589751876189451,False,8,8,"-36.8582,174.756593"
Carmen Jones,382 Karangahape Road,8.1,2,0.9262091996121943,False,8,27,"-36.858275,174.756726"
Sri Pinang,356 Karangahape Road,7.5,2,0.9683112499551151,False,8,46,"-36.858082,174.756883"
Satya South Indian Cafe,271 Karangahape Road,8.5,-1,0.9706991274372508,False,8,163,"-36.857427,174.758339"
Uncle Man,277 Karangahape Road,7.7,2,0.8997091457502963,True,8,159,"-36.857427,174.758339"
Lebanese Cafe,327 Karangahape Road,6.6,-1,0.8406405975079895,False,8,86,"-36.857646,174.757481"
Pokpok Thai Restaurant & Bar,261 Karangahape Road,7.2,2,0.45199109483284855,False,8,172,"-36.857473,174.758544"
Alta,366 Karangahape Rd,-1.0,2,0.518654170706309,False,8,34,"-36.858093,174.756906"
Eighthirty Coffee Roasters,553 Karangahape Road,7.9,1,0.8414664799454199,True,8,318,"-36.859114,174.753228"
The Pie Piper & Doornuts,"321 Karangahape Road, #3",-1.0,1,0.9771446012424144,False,8,83,"-36.857608,174.757414"
Scullery,166 Karangahape Road,7.9,1,0.00269309490466444,False,9,55,"-36.858058,174.760448"
Kati Grill,146 Karangahape Road,7.3,2,0.828431900606844,False,9,22,"-36.858066,174.760587"
Ken Yakitori Bar,89 Karangahape Rd,8.1,-1,0.9590829114151316,False,9,96,"-36.857746,174.762013"
Sal's Authentic New York Pizza,183 Karangahape Road,7.2,1,0.9226004524399439,False,9,82,"-36.857698,174.760061"
St Pierre's Sushi & Seafood,167 Karangahape Road,6.7,2,0.24245035728392403,True,9,55,"-36.858058,174.760448"
Mexicali Fresh K Road,150 Karangahape Road,6.4,1,0.9213436748177672,True,9,41,"-36.858066,174.760587"
Satya South Indian Cafe,271 Karangahape Road,8.5,-1,0.9706991274372508,False,9,245,"-36.857427,174.758339"
Lim Chhour Supermarket,184 Karangahape Road,6.4,-1,0.9956012783223814,False,9,88,"-36.858025,174.759892"
Uncle Man,277 Karangahape Road,7.7,2,0.8997091457502963,True,9,249,"-36.857427,174.758339"
"Eight at Cordis, Auckland",83 Symonds Street,7.9,-1,0.9916873137276024,True,9,273,"-36.857211,174.763807"
Satya South Indian Cafe,271 Karangahape Road,8.5,-1,0.9706991274372508,False,10,283,"-36.857427,174.758339"
Katsura Japanese Restaurant,71 Mayoral Drive,8.4,2,0.9866422492728644,False,10,328,"-36.852719,174.760854"
Uncle Man,277 Karangahape Road,7.7,2,0.8997091457502963,True,10,286,"-36.857427,174.758339"
Coco's Cantina,376 Karangahape Road,8.6,-1,0.9589751876189451,False,10,381,"-36.8582,174.756593"
Scullery,166 Karangahape Road,7.9,1,0.00269309490466444,False,10,340,"-36.858058,174.760448"
Pokpok Thai Restaurant & Bar,261 Karangahape Road,7.2,2,0.45199109483284855,False,10,274,"-36.857473,174.758544"
Ah Ssak,472 Queen Street,7.5,2,0.9362993285216704,False,10,306,"-36.855921,174.762525"
Il Mee 一味食堂,480 Queen St,7.3,2,0.8790261768824733,False,10,314,"-36.855921,174.762525"
Kura Sake Bar,315b Queen Street,8.5,2,0.1664691730403246,False,10,422,"-36.853433,174.763235"
Sri Pinang,356 Karangahape Road,7.5,2,0.9683112499551151,False,10,356,"-36.858082,174.756883"
Ken Yakitori Bar,89 Karangahape Rd,8.1,-1,0.9590829114151316,False,11,139,"-36.857746,174.762013"
"Eight at Cordis, Auckland",83 Symonds Street,7.9,-1,0.9916873137276024,True,11,140,"-36.857211,174.763807"
Betsia Kebabs and Chargrilled Burgers,9 City Road,7.0,2,0.045243994398362596,False,11,152,"-36.856822,174.763493"
Scullery,166 Karangahape Road,7.9,1,0.00269309490466444,False,11,287,"-36.858058,174.760448"
Kati Grill,146 Karangahape Road,7.3,2,0.828431900606844,False,11,253,"-36.858066,174.760587"
Il Mee 一味食堂,480 Queen St,7.3,2,0.8790261768824733,False,11,268,"-36.855921,174.762525"
Ah Ssak,472 Queen Street,7.5,2,0.9362993285216704,False,11,292,"-36.855921,174.762525"
Cafe Crema,31 Symonds Street,6.4,1,0.8999784552407627,False,11,167,"-36.854632,174.768089"
Da Vincis Italian Restaurant,5 City Road,5.9,2,0.7259147545692843,False,11,152,"-36.856884,174.763976"
Le Garde-Manger,466 Queen Street,7.1,3,0.9540917088584868,False,11,297,"-36.855757,174.762609"
Cafe Melba,33 Vulcan Lane,8.5,1,0.9211820891234874,False,12,63,"-36.847307,174.766854"
O'Connell Street Bistro,3 O'Connell Street,7.1,-1,0.6511544400157995,False,12,6,"-36.846883,174.767101"
Sal's Authentic New York Pizza,8 Commerce Street,8.2,1,0.9718122733311788,False,12,93,"-36.845351,174.768006"
Cassia,5 Fort Lane,8.8,2,0.9639843441416209,False,12,128,"-36.845763,174.766991"
Revive,16 Fort Street,7.7,2,0.10941146899350067,False,12,77,"-36.84586,174.766913"
Pilkingtons,41 Shortland Street,7.4,2,0.9570182053215556,False,12,63,"-36.847096,174.767851"
Vultures Lane,10 Vulcan Ln,7.5,3,0.9857265970052784,True,12,82,"-36.847058,174.766413"
That's Amore,42 High Street,8.4,2,0.9480771302380696,True,12,151,"-36.848045,174.766788"
Sushi Train - Chancery,32 Courthouse Lane,8.0,2,0.9824051132895256,False,12,133,"-36.84804,174.767278"
The Yakitori House,2B/18 Shortland Street,6.9,2,0.9525476677798126,False,12,45,"-36.84674,174.766974"
Major Sprout,21 Graham Street,8.3,1,0.8990628029731768,False,13,132,"-36.846698,174.759434"
Scratch Bakers,5 Graham Street,7.7,1,0.9883299220797874,True,13,126,"-36.847138,174.759464"
